,A,A-D,ABC,B,C,C & D,D,E,F,G,H
4.0,8136,,,8223,8137,6650,7885,8323,8110,8130,8386
8.0,8315,,,8438,8357,6816,8086,8441,8327,8348,8555
13.0,8572,,,9122,8508,7024,8337,8694,8575,8604,8800
