,A,B,C,D,E,F,G,H,I,J
3.0,14684725,13213284,13707004,13726125,12229184,13879165,15493813,11559846,10711596,10749210
6.0,15021856,13526016,14021816,14041359,12489664,14197775,15849549,11825073,10957380,10995830
10.0,14522250,13939422,15269374,13497690,11791984,14622840,16323584,12119310,11285484,13197096
