,A,B,C,D,E,F,G,H,I
4.0,4602735,4696085,4712550,4696085,4604475,3506415,3376045,3104740,3450560
8.0,4722795,4818015,4835815,4818015,4724100,3599635,3463885,3188840,3550720
12.0,4841550,4939055,4958190,4939055,4842855,3693250,3549895,3258440,3630720
