,2A,2B,2C,2D,2E,2F,2G,2H,A,B,C,D,E,F,G,H
5.0,14293,14787,14060,14118,14671,14394,14704,14658,14372,15176,14510,14372,14372,14515,14392,14462
12.0,14575,15220,14412,14292,14945,14417,14868,14892,14926,14664,14664,14926,14926,14663,14663,14926
20.0,14869,15637,14825,14825,14974,14649,15286,14915,14903,14965,14965,14903,14903,14927,14927,14903
