,A,B,C,D,F,G,H,I,J,K,L
3.0,4091504,4108320,4086355,3762465,4133150,4053600,3683792,4133150,4281600,4398240,3458910
6.0,3908232,3802800,3843560,3844785,3830575,3802800,3847224,3830575,3679440,3877440,3830575
8.0,4011648,3863040,3909955,3915100,3891335,3863040,3908232,3891335,3738240,4355040,3891335
