,A,B,C,E,F,G,H
7.0,4856609,4926438,5104159,5380289,5189975,5119221,4840218
16.0,5048871,5061762,5299138,5594362,5390633,5376981,5079438
23.0,5177341,5162718,5450578,5753286,5546490,5484381,5160950
