,A,B,C,D,E,F,G
6.0,11402075,8276541,8958047,7386165,6750650,6808435,6709120
10.0,13428657,9093153,7694960,8421723,6822800,6747764,6780224
17.0,13728462,9266167,7861035,8589786,7005950,6882748,6916800
