,A,AB,B,C,CD,D,DG,E,F,G,H
6.0,3248100,11917028,10508956,10822396,12170205,3649520,12032709,8236200,9813804,10925475,9477957
16.0,3403260,12709366,10988396,11314927,12698050,3731644,12554100,8643240,10261680,11327525,9912353
23.0,3421260,13064210,11326770,11662261,12990025,3865512,12930723,8934210,10577424,14381235,10218254
