,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層A,7.0,低層,A,7476840,17388,430
18.0/F中層A,18.0,中層,A,8050890,18723,430
29.0/F高層A,29.0,高層,A,8774580,20406,430
7.0/F低層B,7.0,低層,B,9733072,16441,592
18.0/F中層B,18.0,中層,B,9429968,15929,592
29.0/F高層B,29.0,高層,B,10212592,17251,592
7.0/F低層C,7.0,低層,C,9496272,16041,592
18.0/F中層C,18.0,中層,C,9851472,16641,592
29.0/F高層C,29.0,高層,C,10470704,17687,592
7.0/F低層D,7.0,低層,D,8944528,15109,592
18.0/F中層D,18.0,中層,D,9681568,16354,592
29.0/F高層D,29.0,高層,D,10156944,17157,592
7.0/F低層E,7.0,低層,E,8186376,16914,484
18.0/F中層E,18.0,中層,E,8988364,18571,484
29.0/F高層E,29.0,高層,E,9833912,20318,484
7.0/F低層F,7.0,低層,F,7795900,18130,430
18.0/F中層F,18.0,中層,F,10780912,18211,592
29.0/F高層F,29.0,高層,F,9142230,21261,430
7.0/F低層G,7.0,低層,G,10221472,17266,592
18.0/F中層G,18.0,中層,G,10312640,17420,592
29.0/F高層G,29.0,高層,G,11525056,19468,592
7.0/F低層H,7.0,低層,H,10322112,17436,592
18.0/F中層H,18.0,中層,H,10743024,18147,592
29.0/F高層H,29.0,高層,H,12021152,20306,592
7.0/F低層J,7.0,低層,J,10219696,17263,592
18.0/F中層J,18.0,中層,J,10782688,18214,592
29.0/F高層J,29.0,高層,J,11623328,19634,592
7.0/F低層K,7.0,低層,K,8599228,17767,484
18.0/F中層K,18.0,中層,K,9282152,19178,484
29.0/F高層K,29.0,高層,K,9786964,20221,484
