,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
8.0/F低層12,8.0,低層,12,3026730,6177,490,294,4,NST
18.0/F中層12,18.0,中層,12,3681860,7514,490,281,4,NST
28.0/F高層12,28.0,高層,12,3258010,6649,490,250,4,NST
8.0/F低層14,8.0,低層,14,2393442,6282,381,295,3,NST
18.0/F中層14,18.0,中層,14,2486787,6527,381,288,3,NST
28.0/F高層14,28.0,高層,14,2575179,6759,381,271,3,NST
8.0/F低層15,8.0,低層,15,2813304,7384,381,326,4,NST
18.0/F中層15,18.0,中層,15,2924175,7675,381,304,4,NST
28.0/F高層15,28.0,高層,15,2578227,6767,381,237,3,NST
8.0/F低層17,8.0,低層,17,2764917,7257,381,386,4,NST
18.0/F中層17,18.0,中層,17,2882265,7565,381,388,4,NST
28.0/F高層17,28.0,高層,17,3000375,7875,381,359,4,NST
8.0/F低層19,8.0,低層,19,2816733,7393,381,373,4,NST
18.0/F中層19,18.0,中層,19,2927985,7685,381,346,4,NST
28.0/F高層19,28.0,高層,19,3039999,7979,381,301,4,NST
8.0/F低層2,8.0,低層,2,2828163,7423,381,366,4,NST
18.0/F中層2,18.0,中層,2,2941320,7720,381,344,4,NST
28.0/F高層2,28.0,高層,2,3054096,8016,381,299,4,NST
8.0/F低層20,8.0,低層,20,3451070,7043,490,310,4,NST
18.0/F中層20,18.0,中層,20,3624040,7396,490,307,4,NST
28.0/F高層20,28.0,高層,20,3781330,7717,490,318,5,NST
8.0/F低層22,8.0,低層,22,2813304,7384,381,326,4,NST
18.0/F中層22,18.0,中層,22,2924175,7675,381,304,4,NST
28.0/F高層22,28.0,高層,22,2573655,6755,381,327,4,NST
8.0/F低層23,8.0,低層,23,2729865,7165,381,336,4,NST
18.0/F中層23,18.0,中層,23,2831592,7432,381,339,4,NST
28.0/F高層23,28.0,高層,23,2620518,6878,381,321,4,NST
8.0/F低層24,8.0,低層,24,2813304,7384,381,326,4,NST
18.0/F中層24,18.0,中層,24,2924175,7675,381,304,4,NST
28.0/F高層24,28.0,高層,24,2578227,6767,381,237,3,NST
8.0/F低層4,8.0,低層,4,3541230,7227,490,339,4,NST
18.0/F中層4,18.0,中層,4,3684310,7519,490,312,4,NST
28.0/F高層4,28.0,高層,4,3827390,7811,490,267,4,NST
8.0/F低層5,8.0,低層,5,3538290,7221,490,303,4,NST
18.0/F中層5,18.0,中層,5,3681860,7514,490,281,4,NST
28.0/F高層5,28.0,高層,5,3274180,6682,490,197,3,NST
8.0/F低層6,8.0,低層,6,2374773,6233,381,284,3,NST
18.0/F中層6,18.0,中層,6,2464689,6469,381,287,3,NST
28.0/F高層6,28.0,高層,6,2549271,6691,381,279,3,NST
8.0/F低層9,8.0,低層,9,2813304,7384,381,326,4,NST
18.0/F中層9,18.0,中層,9,2924175,7675,381,304,4,NST
28.0/F高層9,28.0,高層,9,2578227,6767,381,237,3,NST
