,10,11,1106,1125,118,12,120,1218,1225,1301,1303,132,14,15,16,17,18,19,2,20,21,216,22,221,223,225,226,228,229,23,24,25,26,27,28,29,30,31,316,32,323,328,33,4,412,421,423,431,5,505,510,525,527,6,610,612,628,7,710,717,729,730,8,810,812,823,829,831,9,916,927
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
