,D1,D10,D11,D13,D14,D2,D3,D4,D5,D6,D7,D8,D9,whole floor
2.0,411,420,348,420,390,420,420,420,420,420,420,420,420,470
4.0,411,420,348,420,390,420,420,420,420,420,420,420,420,420
7.0,411,348,348,420,390,420,420,420,390,420,420,420,390,420
