,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,whole floor
6.0,16501,16949,16562,15975,16404,16178,16853,16862,16881,16308,16470,17020,16894,16837,16341,16959,16881
14.0,17517,17990,17649,16995,17299,16877,17669,17578,17543,17558,17757,18087,17954,16892,17404,17995,17543
23.0,18026,18557,18171,17460,18011,17667,18462,18350,18416,18276,18281,18672,17846,18212,17895,18668,18260
