,A,B,C,D,E,F,G,H,J,K,L,M,N
14.0,15653,15103,15789,15226,15533,16135,17092,14444,17193,15305,17847,18385,15029
36.0,14884,16716,18449,16141,14475,18989,17407,15602,14424,14579,18715,18869,19336
57.0,18801,15777,18068,16658,18032,17076,18105,16323,15821,15673,19673,17850,16923
