,A,A10,A3,A4,A6,B,B3,B6,B7,C,C11,C2,C4,C8,D,D10,D11,D6,D8,E,E11,E3,E7,E8
3.0,590,590,590,590,590,519,519,518,519,513,513,513,513,513,592,592,592,592,592,623,595,595,623,595
6.0,590,590,590,590,590,519,519,518,519,513,513,513,513,513,592,592,592,592,592,623,595,595,623,595
9.0,590,590,590,590,590,519,519,518,519,513,513,513,513,513,592,592,592,592,592,623,595,595,623,595
