,A,B,C,D,E,F,H,J,K,L
3.0,11682,12732,11764,10944,11641,10612,11708,11751,12307,12838
6.0,11947,13050,12056,11210,11931,10866,11998,12014,12613,13166
9.0,12224,13372,12354,11476,12227,11124,12293,12292,12928,13497
