,1,10,11,12,13,14,2,3,4,5,6,7,8,9,PORTION 5,PORTION 6,PORTION 7
2.0,7430,7087,7258,7491,7258,7258,7381,7087,7487,7555,7281,7244,7244,7244,7555,7250,7524
5.0,7569,7232,7395,7634,7395,7395,7520,7232,7628,7699,7420,7381,7381,7381,7699,7387,7667
8.0,7582,7373,7529,7771,7529,7529,7656,7373,7629,7839,7556,7806,7515,7515,7838,7520,7806
