,A,B,C,D,E,F,G,GH,H
12.0,7367328,8479944,9276300,6628608,7811720,11972274,7850568,14514380,7542976
29.0,7262122,8923122,8330300,6979588,7397544,12086610,8235597,15190840,7711198
48.0,7595434,9355866,9414900,7359338,9341640,12064710,8150138,14308264,7804555
