,A,A & B,AB,B,C,D,E,F,G,G&H,H,I,I&J,J,K,K & L,L,M,N,O,O & P,P,Q,R,S,T,U
3.0,12955,10974,10974,12568,12338,11996,12540,12078,14118,11949,11843,12446,11949,12568,12649,11949,12783,14267,13381,14019,11161,14019,14068,14019,12467,14148,14019
7.0,13298,11226,11226,12378,12378,12174,12667,12969,13490,12273,12374,12712,12273,12378,12913,12273,12966,14731,14054,14419,11460,13494,14419,14419,12572,14575,14419
11.0,14706,11928,11928,12846,12846,13506,12926,12999,13669,12597,14087,12933,12597,12846,14446,12597,14370,14769,14307,14769,11772,14769,14702,14821,13107,14630,14769
