,A,B,C,D,E,F,G,H,I,J
8.0,15239,14554,13457,15118,14773,13627,13711,14502,14998,13658
20.0,16151,14800,14268,16170,17030,14314,12934,15014,15604,14533
31.0,16846,14700,14384,16994,15862,14513,14905,15414,15833,14483
