,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,2402,248,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,7,719,8,9,whole floor
6.0,12735,14528,11988,12881,12604,12721,13691,12870,13151,11999,12508,14795,12687,12928,13028,12915,13066,13027,12601,14095,12582,13432,13028,12825,13028,12107,13368,13886,13191,13142,12751,13172,13006,12799,12053,15010,12488,12952,12624,12479,13695,13852,15375,13027,12409,13038,12605,12232,13740,14256,12217,12607,12722,14189,12677,12515,12416,13316,14201,12848,12872,13128,12859,13305,13028,13902,12153,11741,12108,13552,12604,12107
15.0,13338,15263,14380,12909,12865,14985,14356,14107,14835,12542,13841,15694,12710,13063,12865,12865,12865,12865,12864,15293,14058,14035,15161,13940,12865,12865,13662,13662,13699,13662,13391,14505,13662,13863,14843,12656,12793,12949,12832,13093,15548,13761,14557,12865,13598,15209,12725,12573,12270,14518,12883,12861,13272,15761,13815,12919,12732,14902,14959,14905,12865,13412,12886,14904,12865,14546,12611,12130,12949,15053,12865,12735
24.0,13920,13713,15082,13789,13003,14070,14997,13001,14347,13477,13893,14947,13016,13843,13003,13003,13003,13003,13000,13003,13933,13945,15185,14584,13003,13003,13714,14257,14189,14348,13973,14328,14257,13881,13108,13003,14439,14550,13518,13984,14979,14314,15206,14914,13663,13991,13003,13541,12732,13517,12955,13001,13838,15477,14285,13626,13083,14284,15318,14828,13003,14076,13795,13895,13003,14991,12920,12595,13578,14667,13003,13006
