,1,10,10 & 11,11,12,2,3,4,5,6,7,8,9
4.0,9212,9307,7622,9307,8991,9307,9573,9573,9307,9212,8991,9307,9307
8.0,9448,9545,7817,9545,9221,9545,9818,9818,9545,9448,9221,9545,9545
11.0,9625,9723,7963,9723,9394,9723,10002,10002,9723,9625,9394,9723,9723
