,A,B,C,D,E,F,G,H,J,K
7.0,11292,11572,12554,11478,11369,11322,12849,12526,12435,11404
20.0,11726,11873,12869,11901,11746,11798,13134,12865,12933,11671
33.0,12146,12127,13443,12321,12068,12132,13019,13127,13331,11976
