,D1,D10,D2,D9,E11,E12,E3,E4,E5,F14,F15,F6,F7,F8
3.0,10442,11179,10711,11356,11179,10297,9133,10688,10613,10797,9645,9360,10408,9876
5.0,9188,11277,10816,11187,11277,11121,10844,9502,9620,9610,7839,9473,10512,9974
7.0,9280,11385,10924,11565,11385,11227,11216,9597,9716,9706,7915,9823,10615,10073
