,A,B,C,D,E,F,G,H,J
5.0,11111,10908,10462,10699,11110,10699,10321,10908,11456
12.0,11233,11267,10801,11055,11337,10625,10626,11267,11686
18.0,11642,11251,10765,11028,11663,11028,10805,11251,12019
