,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,14603652,14581718,12591072,12225590,13364922,12144140,12398146,11433184,14598857,14230132,11239168,14209503,15484014,12270213,12398146
30.0,12604745,12604745,10393062,13034140,14206236,12366140,10589684,11533665,15481137,15481137,10306928,15405376,17021291,11846280,10442080
48.0,13371130,17205680,11994567,16087225,17180772,13404199,12946214,11451760,13354926,17256454,11072440,13839888,17506545,12720760,13080960
