,A,B,C,D,E,EF,F,G,H,I,J
8.0,14293,15933,14524,15636,16264,,14309,14711,16126,15627,13621
20.0,15152,16646,14962,16054,16760,,14844,14886,16109,15976,14402
31.0,15957,16380,16097,16083,17436,,15508,15859,16199,16801,14939
