,A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,Q,R,S,whole floor
3.0,4270125,4276316,4282875,4280056,4282875,4276316,4136490,4170862,4236416,4551464,3695586,3258468,4256483,4204310,4256483,4249820,4072725,4143205,4244526
6.0,4333125,4339896,4346250,4343262,4346250,4339896,4197378,4232610,4299344,5538500,3754308,3300921,4010139,4263880,4319553,4312720,4132755,4204265,4191130
9.0,4395000,4401980,4408500,4405720,4408500,4401980,4189236,4223994,4360800,5714990,3809958,3317742,4381510,4260550,4381510,4374510,4124475,4196100,4314200
