,A,B,C,D,D1,D4,D5,E,F,G,H
3.0,4808535,4312490,4087815,5135850,,1487670,,5135850,3847410,4312490,4371990
6.0,4905545,4399220,4170120,5239245,,1516740,,5239245,3950640,4399220,4469000
9.0,5002010,4486440,4252425,5342640,,1545640,,5342640,3944595,4486440,4572005
