,A,A-D,AB,B,C,CD,D,E,F
8.0,20059326,,,13475700,22705942,,16406865,11346575,16175500
18.0,21638988,,,25812780,22953336,,16566020,11824785,16673048
27.0,33152328,,,38911300,25372200,,24879055,11926635,16345732
