,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,8839,9686,9712,9037,9711,9117,9148,9148,9029,9029,8910,9029,8715
8.0,9099,10013,10013,9302,10010,9389,9415,9415,9294,9294,9178,9294,8970
13.0,9590,10311,10311,9574,10308,10247,9690,9690,9565,9565,9454,9565,9233
