,A,B,C,D,E,F,G,H,J,K
7.0,7900820,9080688,9923696,10167008,8834936,7778700,10002432,10146288,9162976,8015040
18.0,8517440,10583184,10626400,10702768,9207616,8268040,11114800,10613376,10029664,8676668
29.0,8935400,11310752,11355744,11530384,9638376,8361780,10645936,10995216,10779136,8906568
