,A,C,D,E,F,G,H,J,K
7.0,7941,7954,7958,8082,7984,8211,7958,7985,8042
19.0,8281,8316,8298,8934,8333,8561,8298,8335,8341
32.0,8661,8697,8652,9757,8721,8909,8652,8723,8755
