,A,B,C,C & D,CD,D,E,F,G,H,I,J,K,L
3.0,189,205,205,,,205,205,205,205,205,176,200,187,200
7.0,189,205,205,,,205,205,205,205,205,176,200,187,200
11.0,217,205,302,,,302,205,205,205,205,176,200,187,200
