,A,ABCDEF,AF,B,C,D,DE,E,F
2.0,24078,,33086,20544,24617,21967,,23834,22758
3.0,23911,,33243,22039,24078,20608,23153,24424,24705
5.0,35434,,33557,20832,25368,20798,,24649,23075
