,A,AB,B,C,D,E,F,G
25.0,14407225,30963856,13650284,14102820,13067250,15506748,12915783,12827280
68.0,36133136,41868288,40034124,37063630,31524900,19660815,18151683,17704732
102.0,,,,,,,,
