,A,B,C,D,E,F,G,J,K
5.0,15111,14690,13385,14486,13407,12388,13652,13087,14086
10.0,15805,15369,13820,14067,14055,13718,14011,13965,14627
16.0,16584,16146,13957,14204,14802,14939,14651,14570,15413
