,A1,A10,A2,A9,B11,B12,B3,B5,C14,C15,C6,C7,C8,F15
2.0,2999640,1960560,2866000,1947825,1922160,1960560,2909676,2924845,2809188,3160520,2895970,2968125,2774880,2992565
4.0,3031980,1981200,2894800,1973700,1941360,1981200,2940630,3024000,2827065,3193520,2925615,2877750,2803320,3024935
7.0,3078600,2011440,2936000,2005650,1957680,1996725,3038400,3068400,2840130,3234000,2985654,2773125,2844360,3072245
