,A,B,C,D,E,F,G,H,J,K,L
10.0,26362,26296,21987,23253,24182,24804,25139,23610,22849,22527,23811
21.0,28338,27100,23066,24473,25452,25955,25767,23970,22899,23820,25963
31.0,29371,28406,25621,27747,26764,27398,28108,25895,24603,24488,27102
