,A,B,C,D,E,F,G,GH,H
6.0,8464113,10269708,9040655,8043000,7461000,8883000,9409305,10971954,
14.0,8818138,9795320,8962070,8222250,7974750,8932560,9804897,11431623,
21.0,9124682,10847548,9491885,8466750,8259000,9250080,12415515,11837868,
