,A,B,C,D,E,F,H,J
7.0,5953756,5189647,5334520,5413650,5230764,7873668,6861360,4242500
18.0,6457242,5560688,5984544,5941312,5832918,8005887,7441880,4593750
27.0,7160034,6087877,6446972,6068692,6384042,8753535,7819540,4620750
