,1,2,3,4,5,6,7,8,A1,A3,A6,C1,C2,C4,C6,C7,C8,E2,E4,E5,E7,E8,G2,G3,G4,G5,G6,G7,G8,I1,I2,I3,I4,I5,I6,I8
4.0,422,370,370,335,335,370,370,422,422,370,370,410,350,335,370,370,410,370,335,335,370,422,370,370,335,360,370,370,422,422,350,370,335,335,370,422
8.0,422,370,370,335,335,370,370,422,422,370,370,410,350,335,370,370,410,370,335,335,370,422,370,370,335,360,370,370,422,410,350,370,335,335,370,422
12.0,422,370,370,335,335,370,370,422,422,370,370,410,350,335,370,370,410,370,335,335,370,422,350,370,335,360,370,370,422,410,350,370,335,335,370,422
