,A,B,C,D,E,F,G,G & H,H
5.0,12961,13044,13135,12847,12758,13996,13924,12700,14603
12.0,,13629,13729,14398,13313,14663,14591,13269,15950
20.0,14202,14297,14409,14282,13985,15392,15317,13921,16690
