,1,10,11,12,13,14,15,16,18,19,2,20,21,23,24,4,5,6,7,8
8.0,6007,5909,5909,5734,5904,5909,5909,5798,5909,5909,5909,5813,5813,6005,6007,5817,5813,5933,5909,5820
18.0,6351,6247,6247,6064,6238,6247,6247,6131,6247,6247,6247,6147,6147,6247,6351,6151,6147,6273,6247,6155
30.0,6763,6653,6653,6459,6643,6653,6653,6530,6653,6653,6653,6547,6547,6653,6763,6552,6547,6681,6653,6556
