,1,11,13,16,2,21,3,6,9
6.0,2189838,2083887,2134431,2123450,2189838,1665846,2147067,2275992,2159352
10.0,2241603,2131974,2184975,2173850,2241603,1703403,2197962,2442411,2210598
13.0,2279802,2167425,2220426,2211650,2279802,1731483,2235519,2369718,2248155
