,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層1,7.0,低層,1,4516762,8153,554,339,4,KSPK
18.0/F中層1,18.0,中層,1,4765508,8602,554,320,4,KSPK
29.0/F高層1,29.0,高層,1,5021456,9064,554,290,4,KSPK
7.0/F低層10,7.0,低層,10,3645090,9090,401,279,3,KSPK
18.0/F中層10,18.0,中層,10,3699626,9226,401,283,4,KSPK
29.0/F高層10,29.0,高層,10,3869650,9650,401,253,4,KSPK
7.0/F低層2,7.0,低層,2,4486292,8098,554,298,4,KSPK
18.0/F中層2,18.0,中層,2,4736700,8550,554,284,4,KSPK
29.0/F高層2,29.0,高層,2,4995418,9017,554,260,4,KSPK
7.0/F低層3,7.0,低層,3,3570905,8905,401,206,3,KSPK
18.0/F中層3,18.0,中層,3,3651506,9106,401,250,4,KSPK
29.0/F高層3,29.0,高層,3,3820327,9527,401,226,4,KSPK
7.0/F低層4,7.0,低層,4,5266425,8165,645,327,4,KSPK
18.0/F中層4,18.0,中層,4,5561190,8622,645,311,4,KSPK
29.0/F高層4,29.0,高層,4,5865630,9094,645,282,4,KSPK
7.0/F低層5,7.0,低層,5,3313864,8264,401,228,3,KSPK
18.0/F中層5,18.0,中層,5,3617020,9020,401,288,4,KSPK
29.0/F高層5,29.0,高層,5,3783034,9434,401,269,4,KSPK
7.0/F低層6,7.0,低層,6,4486292,8098,554,298,4,KSPK
18.0/F中層6,18.0,中層,6,4736700,8550,554,284,4,KSPK
29.0/F高層6,29.0,高層,6,4995418,9017,554,260,4,KSPK
7.0/F低層7,7.0,低層,7,4465240,8060,554,345,4,KSPK
18.0/F中層7,18.0,中層,7,4715094,8511,554,326,4,KSPK
29.0/F高層7,29.0,高層,7,4971042,8973,554,296,4,KSPK
7.0/F低層8,7.0,低層,8,3844387,9587,401,229,3,KSPK
18.0/F中層8,18.0,中層,8,4058521,10121,401,194,3,KSPK
29.0/F高層8,29.0,高層,8,3820327,9527,401,226,4,KSPK
7.0/F低層9,7.0,低層,9,5383170,8346,645,328,4,KSPK
18.0/F中層9,18.0,中層,9,5690190,8822,645,308,4,KSPK
29.0/F高層9,29.0,高層,9,5998500,9300,645,321,5,KSPK
