,1,2,2 & 3,3,4,5,6,7,8
5.0,3322480,3197250,7948500,3245200,3039600,3190922,2936070,2959530,3262564
12.0,3255840,3309950,8248800,3325350,3151460,3045102,3068160,3057960,3190605
19.0,3366680,3406550,8549100,3444700,3224560,3132594,3069180,3089070,3293313
