,A,B,C,D,E,F,G,H,J,K,L,M,N
16.0,16426000,16471958,8859652,9016920,11046291,12289266,12078500,14968092,10013795,10743150,10495440,17517280,10997640
30.0,18304240,17925290,9957560,9863780,12076116,13150566,12657435,16141821,10776215,11255750,10964160,19011520,11852413
46.0,19466100,19682046,10972300,11189960,13696971,14142546,14297850,17383665,11626420,12279300,12125700,21834560,13329547
