,1,10,2,3,4,5,5 & 7,6,7,8,9,C1,C10,C3,C5,C7,C8
4.0,11978,12363,11978,12333,12333,12352,11071,12352,12363,12410,12333,11978,11699,12333,12277,12333,12477
7.0,12276,12671,12276,13386,12641,12660,11352,12660,12671,12641,12641,12276,12003,12641,12583,12641,12788
10.0,12603,12981,12603,12950,12950,12969,11633,12969,12981,12950,12950,12576,12286,12950,12889,12946,13100
