,A01,A02,A03,A05,A06,A07,A08,A102,A106,A108,A206,A308,B,B01,B02,B03,B05,B06,B07,B08,B09,B10,B105,B106,B108,B109,B110,B202,B203,B205,B206,B209,B305,B306,B309,B502,B606,B610,C01,C02,C03,C05,C06,C07,C08,C101,C102,C103,C105,C202,C203,C207,C303,C305,C503,C601,C602,C606,C607,D,PH1,PH2,PH3,PH5
2.0,17135,17289,17427,18623,18011,18011,18015,17289,18011,18015,18011,18015,,17934,17729,18018,18018,18018,18018,17719,18802,18429,18018,18018,18018,18574,18428,18018,18018,18018,18018,18574,18018,18018,18574,18018,18018,18428,17906,16451,18018,17608,18050,18518,17437,18356,18018,18018,17407,18018,18018,18574,18018,17407,18018,18356,18018,18050,18574,,,,,
3.0,17279,17366,17506,18693,18077,18077,18081,17366,18077,18081,18077,17452,,18087,17758,18084,18084,18084,18084,17790,18384,18498,18084,18084,18084,18643,18497,18084,18084,18084,18084,18643,17944,18084,18643,18084,18084,18497,17874,16665,18084,17547,18116,18587,18258,18425,18084,18084,17485,18084,18084,18643,18084,17485,18084,18425,18084,18116,18643,,,,,
5.0,17433,17521,17600,18831,17897,17897,17900,17521,17897,17900,17897,17900,,17904,18244,17903,17903,17903,17903,17829,18904,18764,17903,17903,17903,18650,18227,17903,17903,17903,17903,18650,17903,17903,18650,17903,17903,18227,18144,16817,17903,17933,17925,18859,18178,18160,17903,17903,17643,17903,17903,18650,17903,17643,17903,18160,17903,17925,18650,,,,,
