,A,B,C,D,E,F,G,H,I,J,K,M,N,O,P,Q
4.0,4462868,4143395,4143395,4143395,4288020,4237290,4120255,4197685,4143395,4173655,4119365,3713416,3364335,4425200,3118963,5254000
8.0,4555885,4229725,4229725,4229725,4333855,4229725,4205695,4285795,4229725,4226610,4204805,3786328,3473145,4516109,3182680,5364704
12.0,4654259,4321840,4321840,4321840,4583500,4234972,4296475,4312658,4321840,4484265,4232345,3869432,3546504,4612309,3249250,5476000
