,A,B,C,D,E,F,G
2.0,8131752,5141052,4915251,4328540,4937105,5449720,4530490
4.0,8234280,5209362,4980096,4385660,5002280,6913299,4590276
5.0,8286968,5243310,5012715,4414220,5035065,7054080,4449053
