,1,2,3,4,4A,5,6,7,8,A,A & D,B,C,D,E,F,FG,G,H,I,J
4.0,11020,12444,11148,13284,13932,11003,12351,12796,11298,12070,9001,12865,12951,11686,14118,13511,10137,13396,13640,11576,11541
10.0,11738,13995,11762,13979,14485,12224,12994,11926,12065,12757,9461,13532,13584,12305,14437,14090,10728,14029,14321,12350,12150
16.0,12119,14588,12497,14610,15180,12523,13313,12480,12311,13427,9917,14160,13661,12891,15117,14751,10797,14690,15009,12595,12736
