,1,2,3,4,5,6,7,8,B1,B2,B4,B7
4.0,4611420,4451160,4451160,4611420,4802160,4491630,4491630,4802160,4961280,4397260,4633860,4501035
10.0,4740450,4575620,4575620,4740450,4935910,4617360,4617360,4935910,5050530,4518780,4763400,4629240
16.0,4876110,4705960,4705960,4876110,5076615,4749030,4749030,5076615,4900590,4647160,4899570,4762395
