,A,B,C,D,E,F,G,H,J,K,L,M
6.0,4239840,4285820,5092056,4902345,3779377,3967684,5076099,5076099,4148364,4254360,3833179,3999282
14.0,4385040,4411660,5240397,5121606,3941637,4124820,5222667,5222667,4388428,4378264,3952739,4012946
23.0,4506040,4550568,5416515,5245716,4062478,4243526,5382828,5382828,4613488,4514752,4074007,4074007
