,A,AB,B,C,D,E,F,G,GH,H
6.0,3437265,11313792,9434511,8742880,7651500,7491000,8750340,9879975,11645136,3455528
14.0,3622515,11733312,9648126,8983712,7918500,7749750,9074052,10301445,12187300,3622756
21.0,3639675,12004896,10157166,9225392,8139000,7848000,9362358,11096190,12357011,3730426
