,3,6,B1,B2,B3,B4,B5,B6
5.0,13002,13753,12576,12634,12449,13002,13579,13334
10.0,13189,13955,12763,12822,12638,13189,13781,13730
17.0,13459,14250,13036,13095,12934,13459,14215,14046
