,A,B,C,D,E,F,G,H,J,K,L,M
16.0,14924416,15846360,10578620,8949468,14408276,17968203,7582520,10542888,11200500,12689269,13227648,10464192
30.0,16536000,15981650,11747710,9207643,15156996,20001636,8248280,10741626,11167000,12376888,12239600,11451648
44.0,18918016,17822590,13208624,10423984,17389404,21337866,9566120,12244650,13164500,13873358,14681008,13400512
