,A,B,C,D,E,F,G,H,I,J,K,L
3.0,11416,12744,11101,10983,12583,10743,11502,12387,11112,11397,12735,11101
6.0,11569,12920,11271,11151,12776,11267,11680,12575,11282,11572,12934,11271
10.0,11796,13168,11506,11382,13033,11506,11917,12822,11517,11812,13308,11506
