,A,B,C,D,E,F,G,H,J,K,L,M,N
9.0,1190,886,460,343,661,438,635,474,439,344,273,466,330
22.0,851,886,460,343,661,460,635,474,439,344,273,466,330
33.0,1190,886,460,343,661,460,635,474,439,344,273,466,330
