,A1,A2,A3,A4,B2,B3,C1,C2,C3,D1,D2,D3,D4
3.0,430,445,400,370,445,370,445,445,370,455,390,305,260
4.0,430,445,400,370,445,370,445,445,370,455,390,305,260
