,1,2,4,5,A,B,C,D,E,F
6.0,3683050,4022865,3491400,3995904,3823740,4150575,3812040,3606732,4115328,3860109
11.0,3763550,4111488,3567300,4083840,3907325,4246164,3895200,3685392,4257024,3944610
18.0,3872050,4230684,3669930,3922040,4020475,4378905,4007880,3791412,4410822,4059000
