,1,10,2,3,4,5,6,7,8,9,H10,H2,H5,H6,H8,H9
4.0,12980,13041,12980,11490,11490,11456,11456,13041,11439,11439,13043,10577,11282,11467,13073,12805
7.0,13276,13338,13276,11759,11759,11827,11827,13338,11813,11813,13344,10814,11577,11826,13367,12016
10.0,12205,13654,12205,12120,12120,11472,12086,13654,12072,12072,13660,11057,11809,12087,13683,12278
