,B,C,D,E,E-F,F,G,H,I,K,L
2.0,13051,13435,13435,10242,,13393,13379,13791,12894,12894,13379
3.0,13108,13493,13493,10285,,13451,13503,13852,12951,12951,13438
4.0,13161,13548,13548,10327,,13506,13522,13908,13004,13004,13492
